Número de oraciones principales con sujeto antepuesto: 8182
Número de oraciones principales sin sujeto antepuesto: 9520

Porcentaje de oraciones con sujeto antepuesto: 46.22 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|-------+----------------------+-------------------+-------------------------|
| count |           1636       |        1636       |               1636      |
| mean  |              5.81907 |           5.00122 |                 51.1877 |
| std   |              6.69421 |           3.77324 |                 25.3372 |
| min   |              0       |           0       |                  0      |
| 25%   |              2       |           2       |                 33.33   |
| 50%   |              4       |           4       |                 50      |
| 75%   |              8       |           7       |                 66.67   |
| max   |            110       |          23       |                100      |
+-------+----------------------+-------------------+-------------------------+

+---------------------------------------------+----------------------+-------------------+-------------------------+
|                                             |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|---------------------------------------------+----------------------+-------------------+-------------------------|
| 17_20000602_c_ssd_forms_annotated.conllu    |                    6 |                 3 |                   33.33 |
| 169_20010401_ssd_forms_annotated.conllu     |                    8 |                 3 |                   27.27 |
| 26_19991101_ssd_forms_annotated.conllu      |                    5 |                 3 |                   37.5  |
| 39_20000903_ssd_forms_annotated.conllu      |                   10 |                14 |                   58.33 |
| a12-3_ssd_forms_annotated.conllu            |                    5 |                 6 |                   54.55 |
| 38_19990902_e_ssd_forms_annotated.conllu    |                    0 |                 3 |                  100    |
| 158_20010502_ssd_forms_annotated.conllu     |                    4 |                 2 |                   33.33 |
| 69_20010201_i_ssd_forms_annotated.conllu    |                    2 |                 1 |                   33.33 |
| 19771_20000127_ssd_forms_annotated.conllu   |                    5 |                 0 |                    0    |
| 25_20000501_ssd_forms_annotated.conllu      |                    0 |                 3 |                  100    |
| t5-6_ssd_forms_annotated.conllu             |                    6 |                 4 |                   40    |
| 96_20020401_ssd_forms_annotated.conllu      |                    4 |                 4 |                   50    |
| 21730_20001026_ssd_forms_annotated.conllu   |                    8 |                 5 |                   38.46 |
| 204_c-3_ssd_forms_annotated.conllu          |                    9 |                 8 |                   47.06 |
| 69_20010201_e_ssd_forms_annotated.conllu    |                    3 |                 4 |                   57.14 |
| 82_19991202_ssd_forms_annotated.conllu      |                    5 |                 7 |                   58.33 |
| 20778_20001126_ssd_forms_annotated.conllu   |                    5 |                11 |                   68.75 |
| 76_20000302_ssd_forms_annotated.conllu      |                    4 |                 4 |                   50    |
| 7_19990901_ssd_forms_annotated.conllu       |                   13 |                 4 |                   23.53 |
| 117_20010103_ssd_forms_annotated.conllu     |                    0 |                 4 |                  100    |
| 104_20010902_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 148_19991001_ssd_forms_annotated.conllu     |                    4 |                 4 |                   50    |
| 5988_20000608_ssd_forms_annotated.conllu    |                    3 |                 9 |                   75    |
| 6498_20000409_ssd_forms_annotated.conllu    |                    5 |                 4 |                   44.44 |
| 48_20000602_ssd_forms_annotated.conllu      |                    1 |                 3 |                   75    |
| 7_20000903_ssd_forms_annotated.conllu       |                   14 |                 8 |                   36.36 |
| 104_c-2_ssd_forms_annotated.conllu          |                   11 |                 7 |                   38.89 |
| d1-7_ssd_forms_annotated.conllu             |                    7 |                 6 |                   46.15 |
| 7_19990701_ssd_forms_annotated.conllu       |                    4 |                 3 |                   42.86 |
| 16_20020103_ssd_forms_annotated.conllu      |                    2 |                 1 |                   33.33 |
| 104_20020502_ssd_forms_annotated.conllu     |                    5 |                14 |                   73.68 |
| 75_19990202_ssd_forms_annotated.conllu      |                    1 |                 4 |                   80    |
| 30_19990201_ssd_forms_annotated.conllu      |                   15 |                 9 |                   37.5  |
| 21_20000401_ssd_forms_annotated.conllu      |                   14 |                 6 |                   30    |
| 65_19991001_ssd_forms_annotated.conllu      |                    1 |                 3 |                   75    |
| 7054_20000309_ssd_forms_annotated.conllu    |                    8 |                10 |                   55.56 |
| 119_20010401_ssd_forms_annotated.conllu     |                    3 |                11 |                   78.57 |
| 34_20020601_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| 30_20020801_g_ssd_forms_annotated.conllu    |                    2 |                 5 |                   71.43 |
| 106_20011201_ssd_forms_annotated.conllu     |                    3 |                 0 |                    0    |
| d2-12_ssd_forms_annotated.conllu            |                    9 |                 2 |                   18.18 |
| 54_20020102_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| e1-1_ssd_forms_annotated.conllu             |                    7 |                 6 |                   46.15 |
| 146_19981201_ssd_forms_annotated.conllu     |                    0 |                 1 |                  100    |
| 15311_20001220_ssd_forms_annotated.conllu   |                    1 |                 2 |                   66.67 |
| 19336_20000623_ssd_forms_annotated.conllu   |                    5 |                11 |                   68.75 |
| 120_20010103_ssd_forms_annotated.conllu     |                   13 |                 7 |                   35    |
| 17715_20001022_ssd_forms_annotated.conllu   |                    5 |                 5 |                   50    |
| dc10-7_ssd_forms_annotated.conllu           |                    5 |                 6 |                   54.55 |
| 49_19990601_b_ssd_forms_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 121_20020202_ssd_forms_annotated.conllu     |                    5 |                 5 |                   50    |
| 106_20000602_ssd_forms_annotated.conllu     |                    1 |                 0 |                    0    |
| d2-0_ssd_forms_annotated.conllu             |                    7 |                 7 |                   50    |
| 6315_20001209_ssd_forms_annotated.conllu    |                    6 |                 5 |                   45.45 |
| 35_19991101_ssd_forms_annotated.conllu      |                    5 |                 5 |                   50    |
| 33_20010202_ssd_forms_annotated.conllu      |                    3 |                 2 |                   40    |
| a14-2_ssd_forms_annotated.conllu            |                   12 |                 3 |                   20    |
| 79_20010602_ssd_forms_annotated.conllu      |                    1 |                 4 |                   80    |
| dc3-10_ssd_forms_annotated.conllu           |                    7 |                 3 |                   30    |
| 23915_20001130_ssd_forms_annotated.conllu   |                    1 |                 6 |                   85.71 |
| 16_19990202_ssd_forms_annotated.conllu      |                    8 |                 3 |                   27.27 |
| 23700_20000229_ssd_forms_annotated.conllu   |                    3 |                 8 |                   72.73 |
| 11598_20000715_ssd_forms_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 135_19991201_a_ssd_forms_annotated.conllu   |                    8 |                 5 |                   38.46 |
| 36_20000501_ssd_forms_annotated.conllu      |                   47 |                17 |                   26.56 |
| 6536_20001009_ssd_forms_annotated.conllu    |                    4 |                 5 |                   55.56 |
| 6_20020501_ssd_forms_annotated.conllu       |                    3 |                 3 |                   50    |
| t6-1_ssd_forms_annotated.conllu             |                    8 |                 2 |                   20    |
| 3788_20000405_ssd_forms_annotated.conllu    |                    2 |                 2 |                   50    |
| 178_20010401_c_ssd_forms_annotated.conllu   |                    5 |                 1 |                   16.67 |
| 211_C-3_ssd_forms_annotated.conllu          |                   12 |                11 |                   47.83 |
| 22292_20000131_ssd_forms_annotated.conllu   |                    7 |                 3 |                   30    |
| 22_20000302_ssd_forms_annotated.conllu      |                    4 |                 2 |                   33.33 |
| 13774_20000718_ssd_forms_annotated.conllu   |                    5 |                 3 |                   37.5  |
| 111_C-2_ssd_forms_annotated.conllu          |                    9 |                 6 |                   40    |
| 79_19990102_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 115_20010901_ssd_forms_annotated.conllu     |                    1 |                 2 |                   66.67 |
| 13810_20000617_ssd_forms_annotated.conllu   |                    4 |                 4 |                   50    |
| 130_19990701_ssd_forms_annotated.conllu     |                    6 |                 2 |                   25    |
| 23101_20000927_ssd_forms_annotated.conllu   |                    4 |                 2 |                   33.33 |
| 17384_20000221_ssd_forms_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 70_20020102_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 38_20010701_ssd_forms_annotated.conllu      |                  110 |                22 |                   16.67 |
| 20351_20000224_ssd_forms_annotated.conllu   |                    8 |                 5 |                   38.46 |
| 9580_20000512_ssd_forms_annotated.conllu    |                    2 |                11 |                   84.62 |
| 60_20011101_ssd_forms_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 25_20011102_ssd_forms_annotated.conllu      |                   12 |                 6 |                   33.33 |
| 21_20000601_d_ssd_forms_annotated.conllu    |                    3 |                 0 |                    0    |
| 19061_20000426_ssd_forms_annotated.conllu   |                    4 |                 9 |                   69.23 |
| 20993_20000225_ssd_forms_annotated.conllu   |                    9 |                 3 |                   25    |
| 64_19990201_ssd_forms_annotated.conllu      |                    7 |                11 |                   61.11 |
| r2-3_ssd_forms_annotated.conllu             |                    8 |                 7 |                   46.67 |
| 145_20000702_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 19695_20000427_ssd_forms_annotated.conllu   |                    9 |                 9 |                   50    |
| 10017_20000413_ssd_forms_annotated.conllu   |                    1 |                 5 |                   83.33 |
| t4-13_ssd_forms_annotated.conllu            |                    5 |                 3 |                   37.5  |
| 20018_20000127_ssd_forms_annotated.conllu   |                    5 |                10 |                   66.67 |
| 13738_20000217_ssd_forms_annotated.conllu   |                   10 |                18 |                   64.29 |
| 7089_20000510_ssd_forms_annotated.conllu    |                    4 |                 2 |                   33.33 |
| 24050_20000928_ssd_forms_annotated.conllu   |                    4 |                11 |                   73.33 |
| 131_20000602_ssd_forms_annotated.conllu     |                    8 |                 3 |                   27.27 |
| 4723_20001006_ssd_forms_annotated.conllu    |                    3 |                 2 |                   40    |
| 10477_20001114_ssd_forms_annotated.conllu   |                    3 |                 5 |                   62.5  |
| a1-3_ssd_forms_annotated.conllu             |                   10 |                 2 |                   16.67 |
| 4810_20000306_ssd_forms_annotated.conllu    |                    4 |                 2 |                   33.33 |
| 17_20000301_ssd_forms_annotated.conllu      |                   10 |                14 |                   58.33 |
| 56_20000801_b_ssd_forms_annotated.conllu    |                    2 |                 1 |                   33.33 |
| dc3-0_ssd_forms_annotated.conllu            |                    5 |                 6 |                   54.55 |
| 5255_20000110_ssd_forms_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 124_20010201_ssd_forms_annotated.conllu     |                    4 |                 2 |                   33.33 |
| 10084_20000313_ssd_forms_annotated.conllu   |                    4 |                 8 |                   66.67 |
| 95_20010501_ssd_forms_annotated.conllu      |                    0 |                 3 |                  100    |
