Número de oraciones principales con sujeto antepuesto: 3052
Número de oraciones principales sin sujeto antepuesto: 4659

Porcentaje de oraciones con sujeto antepuesto: 39.58 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|-------+----------------------+-------------------+-------------------------|
| count |            487       |         487       |                487      |
| mean  |              9.56674 |           6.26694 |                 38.87   |
| std   |              8.82682 |           7.53255 |                 24.9001 |
| min   |              0       |           0       |                  0      |
| 25%   |              3       |           2       |                 20      |
| 50%   |              7       |           4       |                 36.36   |
| 75%   |             12       |           8       |                 57.14   |
| max   |             46       |          52       |                100      |
+-------+----------------------+-------------------+-------------------------+

+----------------------------------------+----------------------+-------------------+-------------------------+
|                                        |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|----------------------------------------+----------------------+-------------------+-------------------------|
| en_wr_18_15_2_1_ec_annotated.conllu    |                   12 |                 0 |                    0    |
| en_wr_19_42_0_2_jd_annotated.conllu    |                    4 |                 3 |                   42.86 |
| en_wr_16_18_3_3_ns_annotated.conllu    |                    6 |                 3 |                   33.33 |
| en_wr_20_19_4_5_cg_annotated.conllu    |                    1 |                 8 |                   88.89 |
| en_wr_16_17_5_4_sam_annotated.conllu   |                    5 |                 1 |                   16.67 |
| en_wr_16_55_0_1_ed_annotated.conllu    |                    0 |                 3 |                  100    |
| en_wr_17_36_2_6_sgt_annotated.conllu   |                   29 |                20 |                   40.82 |
| en_wr_20_15_2_3_lmr_annotated.conllu   |                    5 |                11 |                   68.75 |
| en_wr_21_17_5_4_bwb_annotated.conllu   |                    3 |                 0 |                    0    |
| en_wr_13_38_1_2_jar_annotated.conllu   |                    5 |                 0 |                    0    |
| en_wr_16_23_3_1_rla_annotated.conllu   |                   34 |                32 |                   48.48 |
| en_wr_12_17_5_1_dds_annotated.conllu   |                   46 |                 9 |                   16.36 |
| en_wr_21_21_2_1_mb_annotated.conllu    |                   14 |                 6 |                   30    |
| en_wr_19_21_-_2_ajd_annotated.conllu   |                    8 |                 2 |                   20    |
| en_wr_20_32_1_1_ewj_annotated.conllu   |                    8 |                 3 |                   27.27 |
| en_wr_21_19_3_12_eh_annotated.conllu   |                   13 |                 1 |                    7.14 |
| en_wr_21_53_12_4_djh_annotated.conllu  |                   10 |                 3 |                   23.08 |
| en_wr_15_16_4_2_nfn_annotated.conllu   |                    3 |                 5 |                   62.5  |
| en_wr_16_16_1_1_as_annotated.conllu    |                    1 |                 4 |                   80    |
| en_wr_19_22_2_2_smj_annotated.conllu   |                    8 |                 5 |                   38.46 |
| en_wr_17_16_4_2_bcd_annotated.conllu   |                    1 |                 2 |                   66.67 |
| en_wr_19_48_7_1_gb_annotated.conllu    |                    4 |                 2 |                   33.33 |
| en_wr_20_15_2_4_kjh_annotated.conllu   |                    1 |                 0 |                    0    |
| en_wr_19_15_2_1_db_annotated.conllu    |                    9 |                 2 |                   18.18 |
| en_wr_19_18_4_6_mjs_annotated.conllu   |                    9 |                 0 |                    0    |
| en_wr_17_16_2_2_kdr_annotated.conllu   |                   13 |                 5 |                   27.78 |
| en_wr_17_20_4_1_sab_annotated.conllu   |                    4 |                12 |                   75    |
| en_wr_19_23_1_2_xxxxx_annotated.conllu |                    6 |                 0 |                    0    |
| en_wr_20_17_4_5_jr_annotated.conllu    |                    1 |                 5 |                   83.33 |
| en_wr_19_21_3_5_cg_annotated.conllu    |                   25 |                 5 |                   16.67 |
| en_wr_12_52_1_1_sws_annotated.conllu   |                    8 |                 3 |                   27.27 |
| en_wr_16_16_5_1_smp_annotated.conllu   |                    7 |                 0 |                    0    |
| en_wr_12_22_1_1_bmb_annotated.conllu   |                    4 |                 5 |                   55.56 |
| en_wr_18_23_0_1_ath_annotated.conllu   |                    3 |                 1 |                   25    |
| en_wr_17_19_4_2_bd_annotated.conllu    |                    5 |                10 |                   66.67 |
| en_wr_15_19_3_1_jac_annotated.conllu   |                   10 |                 4 |                   28.57 |
| en_wr_18_15_2_1_gmw_annotated.conllu   |                   16 |                 2 |                   11.11 |
| en_wr_18_30_0_4_srr_annotated.conllu   |                   18 |                 7 |                   28    |
| en_wr_19_18_5_5_jvr_annotated.conllu   |                   42 |                 6 |                   12.5  |
| en_wr_15_20_2_6_em_annotated.conllu    |                   11 |                 1 |                    8.33 |
| en_wr_21_16_1_1_als_annotated.conllu   |                   11 |                 0 |                    0    |
| en_wr_14_-_0_7_rn_annotated.conllu     |                    7 |                 2 |                   22.22 |
| en_wr_18_41_-_2_smr_annotated.conllu   |                    2 |                 2 |                   50    |
