Número de oraciones principales con sujeto antepuesto: 8748
Número de oraciones principales sin sujeto antepuesto: 8616

Porcentaje de oraciones con sujeto antepuesto: 50.38 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|-------+----------------------+-------------------+-------------------------|
| count |           1637       |        1637       |               1636      |
| mean  |              5.26329 |           5.34392 |                 55.416  |
| std   |              6.1914  |           4.09151 |                 25.2351 |
| min   |              0       |           0       |                  0      |
| 25%   |              2       |           2       |                 37.5    |
| 50%   |              4       |           4       |                 53.85   |
| 75%   |              7       |           7       |                 72.73   |
| max   |            102       |          30       |                100      |
+-------+----------------------+-------------------+-------------------------+

+---------------------------------------+----------------------+-------------------+-------------------------+
|                                       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|---------------------------------------+----------------------+-------------------+-------------------------|
| 6013_20000408_ssd_annotated.conllu    |                    3 |                11 |                   78.57 |
| 36_19990301_ssd_annotated.conllu      |                    3 |                 6 |                   66.67 |
| 2000060111_5-2_ssd_annotated.conllu   |                    6 |                 7 |                   53.85 |
| 70_20020102_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 3_20020501_ssd_annotated.conllu       |                    6 |                 4 |                   40    |
| 23019_20000328_ssd_annotated.conllu   |                    0 |                 3 |                  100    |
| 124_19990103_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| 3_19991202_ssd_annotated.conllu       |                    7 |                17 |                   70.83 |
| 18_20011202_ssd_annotated.conllu      |                    4 |                 3 |                   42.86 |
| 19_19990602_c_ssd_annotated.conllu    |                    3 |                 0 |                    0    |
| 134_20000701_ssd_annotated.conllu     |                   16 |                10 |                   38.46 |
| 25_20000701_ssd_annotated.conllu      |                    5 |                 2 |                   28.57 |
| t6-4_ssd_annotated.conllu             |                   10 |                 0 |                    0    |
| 136_20010102_a_ssd_annotated.conllu   |                    4 |                 1 |                   20    |
| 21609_20001127_ssd_annotated.conllu   |                    8 |                 6 |                   42.86 |
| 70_20000501_ssd_annotated.conllu      |                   12 |                 4 |                   25    |
| 11_20001202_ssd_annotated.conllu      |                    6 |                 7 |                   53.85 |
| 102_20000802_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| e1-4_ssd_annotated.conllu             |                   12 |                 4 |                   25    |
| 13_20000802_ssd_annotated.conllu      |                    6 |                 2 |                   25    |
| 139_20010103_ssd_annotated.conllu     |                    4 |                11 |                   73.33 |
| 91_20020501_ssd_annotated.conllu      |                    2 |                 2 |                   50    |
| 3502_20001106_ssd_annotated.conllu    |                    3 |                10 |                   76.92 |
| 2418_20001104_ssd_annotated.conllu    |                    9 |                 9 |                   50    |
| 57_20000702_ssd_annotated.conllu      |                    1 |                 6 |                   85.71 |
| 21_20020702_a_ssd_annotated.conllu    |                   14 |                 8 |                   36.36 |
| 16545_20000620_ssd_annotated.conllu   |                    5 |                 3 |                   37.5  |
| 58_20010602_ssd_annotated.conllu      |                    3 |                13 |                   81.25 |
| 38_19990902_d_ssd_annotated.conllu    |                    0 |                 4 |                  100    |
| 16182_20001121_ssd_annotated.conllu   |                    6 |                 5 |                   45.45 |
| 21_20000202_c_ssd_annotated.conllu    |                    2 |                 0 |                    0    |
| 2690_20001104_ssd_annotated.conllu    |                    8 |                 6 |                   42.86 |
| dc3-0_ssd_annotated.conllu            |                    6 |                 5 |                   45.45 |
| 30_19990201_ssd_annotated.conllu      |                   14 |                 9 |                   39.13 |
| 30_20020801_g_ssd_annotated.conllu    |                    2 |                 5 |                   71.43 |
| 13252_20000216_ssd_annotated.conllu   |                    1 |                 5 |                   83.33 |
| t3-0_ssd_annotated.conllu             |                   21 |                 5 |                   19.23 |
| 87_20000202_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| 16529_20001121_ssd_annotated.conllu   |                    3 |                 2 |                   40    |
| 74_20000903_ssd_annotated.conllu      |                    8 |                 6 |                   42.86 |
| 72_19990601_ssd_annotated.conllu      |                    4 |                10 |                   71.43 |
| 66_20000601_ssd_annotated.conllu      |                    2 |                 5 |                   71.43 |
| 21176_20000626_ssd_annotated.conllu   |                    7 |                 6 |                   46.15 |
