Número de oraciones principales con sujeto antepuesto: 5574
Número de oraciones principales sin sujeto antepuesto: 13824

Porcentaje de oraciones con sujeto antepuesto: 28.73 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|-------+----------------------+-------------------+-------------------------|
| count |            699       |         699       |                699      |
| mean  |             19.7768  |           7.97425 |                 28.3945 |
| std   |              8.64031 |           5.38484 |                 14.036  |
| min   |              2       |           0       |                  0      |
| 25%   |             13       |           4       |                 18.675  |
| 50%   |             18       |           7       |                 26.67   |
| 75%   |             25       |          10       |                 36.94   |
| max   |             72       |          52       |                 85      |
+-------+----------------------+-------------------+-------------------------+

+------------------------------------------+----------------------+-------------------+-------------------------+
|                                          |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
|------------------------------------------+----------------------+-------------------+-------------------------|
| en_wr_37_48_11_4_emf_annotated.conllu    |                   17 |                 7 |                   29.17 |
| en_wr_41_23_3_5_rap_annotated.conllu     |                   20 |                 5 |                   20    |
| en_wr_35_24_4_7_rr_annotated.conllu      |                   11 |                 3 |                   21.43 |
| en_wr_39_33_17_10_dro_annotated.conllu   |                   20 |                 8 |                   28.57 |
| en_wr_42_32_9_5_bah_annotated.conllu     |                   22 |                 8 |                   26.67 |
| en_wr_37_18_7_7_smh_annotated.conllu     |                   26 |                 4 |                   13.33 |
| en_wr_41_20_9_1_glh_annotated.conllu     |                   12 |                 8 |                   40    |
| en_wr_39_17_5_1_rjt_annotated.conllu     |                   21 |                17 |                   44.74 |
| en_wr_38_20_8_4_sak_annotated.conllu     |                    4 |                 3 |                   42.86 |
| en_wr_41_26_6_6_jk_annotated.conllu      |                   12 |                 6 |                   33.33 |
| en_wr_36_21_7_1_ema_annotated.conllu     |                   18 |                 5 |                   21.74 |
| en_wr_33_19_6_4_cak_annotated.conllu     |                   18 |                 8 |                   30.77 |
| en_wr_42_36_5_1_rjc_annotated.conllu     |                   27 |                10 |                   27.03 |
| en_wr_41_22_3_7_fah_annotated.conllu     |                   21 |                 6 |                   22.22 |
| en_wr_43_25_11_5_jcp_annotated.conllu    |                   16 |                 5 |                   23.81 |
| en_wr_36_21_8_5_ss_annotated.conllu      |                   26 |                 9 |                   25.71 |
| en_wr_34_21_7_6_ls_annotated.conllu      |                   17 |                 3 |                   15    |
| en_wr_42_25_2_6_ls_annotated.conllu      |                    8 |                 4 |                   33.33 |
| en_wr_37_18_5_3_jep_annotated.conllu     |                   31 |                19 |                   38    |
| en_wr_39_31_8_6_srm_annotated.conllu     |                   28 |                 3 |                    9.68 |
| en_wr_35_31_2_1_glg_annotated.conllu     |                   22 |                 4 |                   15.38 |
| en_wr_34_18_5_4_cal_annotated.conllu     |                   21 |                 3 |                   12.5  |
| en_wr_41_57_9_6_jhc_annotated.conllu     |                   52 |                10 |                   16.13 |
| en_wr_41_52_12_4_clf_annotated.conllu    |                   37 |                 2 |                    5.13 |
| en_wr_34_17_3_4_egp_annotated.conllu     |                    9 |                20 |                   68.97 |
| en_wr_33_20_5_4_lmw_annotated.conllu     |                   34 |                10 |                   22.73 |
| en_wr_40_27_13_5_mes_annotated.conllu    |                    8 |                 1 |                   11.11 |
| en_wr_42_58_4_1_nb_annotated.conllu      |                   44 |                 4 |                    8.33 |
| en_wr_37_18_7_3_kar_annotated.conllu     |                   18 |                15 |                   45.45 |
| en_wr_34_37_2_6_kl_annotated.conllu      |                   41 |                15 |                   26.79 |
| en_wr_38_29_3_1_jdp_annotated.conllu     |                   10 |                 3 |                   23.08 |
| en_wr_34_18_6_7_zl_annotated.conllu      |                   23 |                 4 |                   14.81 |
| en_wr_39_19_7_6_cec_annotated.conllu     |                   27 |                 4 |                   12.9  |
| en_wr_43_22_13_6_sik_annotated.conllu    |                   33 |                12 |                   26.67 |
| en_wr_42_66_5_3_lml_annotated.conllu     |                   24 |                13 |                   35.14 |
| en_wr_34_27_0_2_jas_annotated.conllu     |                   27 |                12 |                   30.77 |
| en_wr_35_19_6_4_km_annotated.conllu      |                   16 |                12 |                   42.86 |
| en_wr_39_43_3_5_slc_annotated.conllu     |                   14 |                 5 |                   26.32 |
| en_wr_42_21_8_5_sh_annotated.conllu      |                   31 |                 6 |                   16.22 |
| en_wr_42_21_8_10_emo_annotated.conllu    |                   11 |                 7 |                   38.89 |
| en_wr_35_18_3_3_crr_annotated.conllu     |                   19 |                11 |                   36.67 |
| en_wr_40_20_13_10_sjf_annotated.conllu   |                   28 |                12 |                   30    |
| en_wr_39_18_7_4_lne_annotated.conllu     |                   15 |                 4 |                   21.05 |
| en_wr_36_59_-_4_rml_annotated.conllu     |                   39 |                10 |                   20.41 |
| en_wr_41_52_3_6_dlm_annotated.conllu     |                   24 |                 8 |                   25    |
| en_wr_40_22_4_2_mmk_annotated.conllu     |                   17 |                12 |                   41.38 |
| en_wr_40_58_3_4_d_annotated.conllu       |                   32 |                 4 |                   11.11 |
| en_wr_33_56_3_6_a_annotated.conllu       |                   17 |                 1 |                    5.56 |
| en_wr_42_30_16_5_kmb_annotated.conllu    |                   21 |                 2 |                    8.7  |
| en_wr_36_22_9_4_ec_annotated.conllu      |                   15 |                 6 |                   28.57 |
| en_wr_37_63_7_7_mjdl_annotated.conllu    |                   16 |                 2 |                   11.11 |
| en_wr_41_28_3_10_mlf_annotated.conllu    |                   12 |                12 |                   50    |
| en_wr_34_21_2_4_mnb_annotated.conllu     |                   23 |                24 |                   51.06 |
| en_wr_40_17_4_6_as_annotated.conllu      |                   20 |                14 |                   41.18 |
| en_wr_35_18_7_5_lrr_annotated.conllu     |                   12 |                 1 |                    7.69 |
| en_wr_34_19_5_6_rkc_annotated.conllu     |                   11 |                 5 |                   31.25 |
| en_wr_37_21_6_6_cjs_annotated.conllu     |                   26 |                12 |                   31.58 |
| en_wr_40_27_15_3_mrb_annotated.conllu    |                   22 |                12 |                   35.29 |
| en_wr_39_18_7_4_lag_annotated.conllu     |                   18 |                10 |                   35.71 |
| en_wr_39_28_10_1_tc_annotated.conllu     |                   30 |                16 |                   34.78 |
| en_wr_43_70_5_12_ja_annotated.conllu     |                   17 |                 8 |                   32    |
| en_wr_41_37_5_11_nl_annotated.conllu     |                    8 |                 3 |                   27.27 |
| en_wr_36_25_6_4_sjb_annotated.conllu     |                   20 |                 3 |                   13.04 |
| en_wr_33_62_5_6_par_annotated.conllu     |                   14 |                 9 |                   39.13 |
| en_wr_38_45_1_1_j_annotated.conllu       |                   29 |                 6 |                   17.14 |
| en_wr_41_19_6_6_ms_annotated.conllu      |                   24 |                 2 |                    7.69 |
| en_wr_34_19_6_1_cd_annotated.conllu      |                   24 |                 9 |                   27.27 |
| en_wr_33_20_2_6_ags_annotated.conllu     |                   23 |                 6 |                   20.69 |
| en_wr_39_22_5_5_lra_annotated.conllu     |                   19 |                 4 |                   17.39 |
| en_wr_39_21_8_4_eac_annotated.conllu     |                   17 |                 1 |                    5.56 |
| en_wr_42_26_12_5_cev_annotated.conllu    |                   12 |                 2 |                   14.29 |
| en_wr_42_31_9_11_wlw_annotated.conllu    |                   10 |                 8 |                   44.44 |
| en_wr_41_41_5_1_pp_annotated.conllu      |                   19 |                15 |                   44.12 |
| en_wr_39_19_4_6_dmm_annotated.conllu     |                   19 |                14 |                   42.42 |
| en_wr_38_18_2_7_prf_annotated.conllu     |                   21 |                 4 |                   16    |
| en_wr_42_58_7_6_jgp_annotated.conllu     |                   16 |                 4 |                   20    |
| en_wr_39_30_1_9_er_annotated.conllu      |                   17 |                14 |                   45.16 |
| en_wr_41_28_13_6_lkb_annotated.conllu    |                   17 |                 4 |                   19.05 |
| en_wr_41_58_3_3_sar_annotated.conllu     |                   19 |                 9 |                   32.14 |
| en_wr_34_19_2_5_kb_annotated.conllu      |                   18 |                10 |                   35.71 |
| en_wr_36_29_8_4_kfb_annotated.conllu     |                    8 |                 2 |                   20    |
| en_wr_38_31_-_4_djg_annotated.conllu     |                   26 |                 2 |                    7.14 |
| en_wr_37_31_5_6_es_annotated.conllu      |                   28 |                17 |                   37.78 |
| en_wr_34_18_9_6_nek_annotated.conllu     |                   40 |                10 |                   20    |
| en_wr_39_28_13_6_kes_annotated.conllu    |                   26 |                 3 |                   10.34 |
| en_wr_41_23_4_1_art_annotated.conllu     |                   23 |                17 |                   42.5  |
| en_wr_39_20_4_1_jc_annotated.conllu      |                   12 |                 3 |                   20    |
| en_wr_38_17_-_4_ofg_annotated.conllu     |                   29 |                11 |                   27.5  |
| en_wr_35_19_8_9_mmr_annotated.conllu     |                   13 |                11 |                   45.83 |
| en_wr_37_20_4_6_lj_annotated.conllu      |                    8 |                 6 |                   42.86 |
| en_wr_41_22_3_4_mr_annotated.conllu      |                   18 |                 8 |                   30.77 |
| en_wr_43_19_5_10_jch_annotated.conllu    |                   11 |                13 |                   54.17 |
| en_wr_40_21_6_6_ncp_annotated.conllu     |                   10 |                 1 |                    9.09 |
| en_wr_42_29_14_10_jl_annotated.conllu    |                   23 |                 9 |                   28.12 |
| en_wr_39_20_8_4_jm_annotated.conllu      |                   23 |                 7 |                   23.33 |
| en_wr_38_45_13_6_tm_annotated.conllu     |                   13 |                 3 |                   18.75 |
| en_wr_43_25_15_10_kl_annotated.conllu    |                   22 |                 4 |                   15.38 |
| en_wr_37_18_7_4_jah_annotated.conllu     |                   18 |                 8 |                   30.77 |
| en_wr_37_23_3_4_sdw_annotated.conllu     |                   14 |                 4 |                   22.22 |
| en_wr_34_17_6_5_lk_annotated.conllu      |                    8 |                 4 |                   33.33 |
| en_wr_35_19_6_10_kr_annotated.conllu     |                    9 |                12 |                   57.14 |
| en_wr_42_35_-_1_knb_annotated.conllu     |                   17 |                 9 |                   34.62 |
| en_wr_36_20_3_7_hw_annotated.conllu      |                   14 |                 5 |                   26.32 |
| en_wr_39_57_6_1_cc_annotated.conllu      |                   17 |                 3 |                   15    |
| en_wr_40_20_6_8_jje_annotated.conllu     |                   15 |                13 |                   46.43 |
| en_wr_37_21_7_3_ch_annotated.conllu      |                   13 |                18 |                   58.06 |
| en_wr_36_18_3_5_dnj_annotated.conllu     |                   20 |                 5 |                   20    |
| en_wr_36_18_2_5_kw_annotated.conllu      |                   22 |                 8 |                   26.67 |
| en_wr_37_20_6_10_lae_annotated.conllu    |                   14 |                 5 |                   26.32 |
| en_wr_41_23_10_1_jvv_annotated.conllu    |                   27 |                14 |                   34.15 |
| en_wr_42_32_5_10_bm_annotated.conllu     |                   21 |                15 |                   41.67 |
| en_wr_39_19_3_4_kms_annotated.conllu     |                    8 |                 1 |                   11.11 |
| en_wr_36_35_21_1_jrr_annotated.conllu    |                   18 |                10 |                   35.71 |
| en_wr_33_22_9_1_ml_annotated.conllu      |                    8 |                 6 |                   42.86 |
| en_wr_42_53_6_6_nkb_annotated.conllu     |                   12 |                 3 |                   20    |
| en_wr_37_20_2_4_so_annotated.conllu      |                   15 |                14 |                   48.28 |
| en_wr_37_17_4_4_mm_annotated.conllu      |                   25 |                 5 |                   16.67 |
| en_wr_40_20_6_10_erm_annotated.conllu    |                   21 |                10 |                   32.26 |
| en_wr_35_24_4_1_cd_annotated.conllu      |                    2 |                 4 |                   66.67 |
| en_wr_35_20_6_4_arg1_annotated.conllu    |                   25 |                10 |                   28.57 |
| en_wr_36_72_10_1_mp_annotated.conllu     |                    9 |                 6 |                   40    |
| en_wr_40_21_9_4_jwh_annotated.conllu     |                   32 |                 8 |                   20    |
| en_wr_43_34_30_10_nmh_annotated.conllu   |                   11 |                 5 |                   31.25 |
| en_wr_34_59_4_1_yaa_annotated.conllu     |                   20 |                 3 |                   13.04 |
| en_wr_33_17_4_2_dg_annotated.conllu      |                   23 |                12 |                   34.29 |
| en_wr_40_20_6_5_ams_annotated.conllu     |                   25 |                 4 |                   13.79 |
| en_wr_36_61_1_1_krb_annotated.conllu     |                   23 |                 9 |                   28.12 |
| en_wr_33_21_7_4_tlo_annotated.conllu     |                   21 |                 4 |                   16    |
| en_wr_38_20_3_4_ja_annotated.conllu      |                   12 |                 2 |                   14.29 |
| en_wr_37_17_9_2_cjr_annotated.conllu     |                    5 |                 8 |                   61.54 |
| en_wr_41_43_10_4_cj_annotated.conllu     |                   31 |                 8 |                   20.51 |
| en_wr_43_20_9_5_jsd_annotated.conllu     |                   24 |                 4 |                   14.29 |
| en_wr_40_53_3_4_clb_annotated.conllu     |                   11 |                 1 |                    8.33 |
| en_wr_35_21_13_1_dbmn_annotated.conllu   |                   10 |                 9 |                   47.37 |
| en_wr_40_25_9_9_hl_annotated.conllu      |                   13 |                 6 |                   31.58 |
| en_wr_42_36_6_6_tpp_annotated.conllu     |                   34 |                11 |                   24.44 |
| en_wr_33_19_3_1_asa_annotated.conllu     |                   17 |                15 |                   46.88 |
| en_wr_37_20_6_10_nh_annotated.conllu     |                   11 |                 1 |                    8.33 |
| en_wr_38_21_5_6_mc_annotated.conllu      |                   13 |                 0 |                    0    |
| en_wr_37_25_10_5_ks_annotated.conllu     |                   39 |                10 |                   20.41 |
| en_wr_36_30_5_4_pm_annotated.conllu      |                   19 |                 5 |                   20.83 |
| en_wr_38_27_12_3_dla_annotated.conllu    |                   34 |                52 |                   60.47 |
